blob_id	type	chapter	seed_score	seed_signals	prior_step2_verdict	stale_since	seed_sentence
Chapter2/Discussion_faithful_example	discussion	Chapter2	8	author_check+property	unknown	#5388	For example, $k[t]$ is a faithful representation of the Weyl algebra if $k$ has characteristic zero (check it!), but not in characteristic $p$, where $(d/dt)^p Q = 0$ for any polynomial $Q$.
Chapter2/Discussion_commutativity_examples	discussion	Chapter2	7	iff_equiv+property	unknown	#5388	In case 5, $A$ is commutative if and only if $G$ is commutative.
Chapter2/Discussion_2.5_well_defined	discussion	Chapter2	4	welldef	gap	#5388	This is well defined because if $\pi(a) = \pi(a')$, then $$ \pi(a'b) = \pi(ab + (a' - a)b) = \pi(ab) + \pi((a' - a)b) = \pi(ab) $$ because $(a' - a)b \in Ib \subseteq I = \ker \pi$, as $I$ is a right ideal; similarly, if $\pi(b) = \pi(b')$, then $$ \pi(ab') = \pi(ab + a(b' - b)) = \pi(ab) + \pi(a(b'
Chapter2/Discussion_quiver_rep_bijection	discussion	Chapter2	4	iff_equiv	unknown	#5388	Two paths $a, b$ can be concatenated to form the path $ab$ if and only if the final target of $a$ equals the first source of $b$. $P_Q$: let $\mathbf{V} = \bigoplus_i V_i$, let $p_i : \mathbf{V} \to V_i \to \mathbf{V}$ be the projection onto $V_i$, and for any path $p = h_1 \ldots h_m$ let $a_p = x_
Chapter2/Discussion_tensor_product_maps	discussion	Chapter2	4	welldef	unknown	#5388	Namely, if $A : V \to V'$ and $B : W \to W'$ are linear maps, then one can define the linear map $A \otimes B : V \otimes W \to V' \otimes W'$ given by the formula $(A \otimes B)(v \otimes w) = Av \otimes Bw$ (check that this is well defined!).
Chapter2/Discussion_commutativity_examples	discussion	Chapter2	3	property	unknown	#5388	For instance, in the above examples, $A$ is commutative in cases 1 and 2 but not commutative in cases 3 (if $\dim V > 1$) and 4 (if $n > 1$).
Chapter2/Discussion_proof_Corollary2.3.12	discussion	Chapter2	3	property	unknown	#5388	Indeed, $$ \rho(a)\rho(b)v = \rho(ab)v = \rho(ba)v = \rho(b)\rho(a)v $$ (the second equality is true since the algebra is commutative).
Chapter2/Discussion_proof_Corollary2.3.12	discussion	Chapter2	3	property	unknown	#5388	But $V$ is irreducible, so $0$ and $V$ are the only subspaces of $V$.
Chapter2/Discussion_proof_Corollary2.3.12	discussion	Chapter2	3	dimformula	unknown	#5388	This means that $\dim V = 1$ (since $V \neq 0$). $\square$
Chapter2/Discussion_faithful_example	discussion	Chapter2	3	property	unknown	#5388	However, the representation $E = t^a k[a][t, t^{-1}]$, as we've seen, is faithful in any characteristic.
Chapter2/Discussion_pure_tensors	discussion	Chapter2	3	property	unknown	#5388	Note that this tensor product is associative, in the sense that $(V_1 \otimes V_2) \otimes V_3$ can be naturally identified with $V_1 \otimes (V_2 \otimes V_3)$.
Chapter2/Discussion_quiver_rep_bijection	discussion	Chapter2	2	easy_assert	unknown	#5388	It is clear that the above assignments $\mathbf{V} \mapsto (p_i \mathbf{V})$ and $(V_i) \mapsto \bigoplus_i V_i$ are inverses of each other.
Chapter2/Discussion_2.9_Lie_groups	discussion	Chapter2	2	easy_assert	unknown	#5388	One can show that this group has a natural structure of a connected Lie group, whose Lie algebra is $\mathfrak{g}$ (even though it is not always a closed subgroup).
Chapter2/Discussion_proof_Corollary2.3.10	discussion	Chapter2	1	thus_therefore	unknown	#5388	Thus by Proposition 2.3.9 this operator is zero, hence the result. $\square$
Chapter2/Discussion_proof_Corollary2.3.12	discussion	Chapter2	1	thus_therefore	unknown	#5388	Hence every subspace of $V$ is a subrepresentation.
Chapter2/Discussion_quiver_rep_bijection	discussion	Chapter2	1	thus_therefore	unknown	#5388	Thus, we have a bijection between isomorphism classes of representations of the algebra $P_Q$ and of the quiver $Q$.
Chapter3/Discussion_alternative_proof_of_Proposition3.1.4	discussion	Chapter3	7	iff_equiv+property	unknown	#5388	Then $f$ is injective (respectively surjective, an isomorphism) if and only if all the $f_X$ are.
Chapter3/Discussion_proof_of_Theorem3.10.2	discussion	Chapter3	6	easy_assert+property+thus_therefore	unknown	#5388	Thus, we see that $$(A \otimes B)/\operatorname{Rad}(A \otimes B) = A/\operatorname{Rad}(A) \otimes B/\operatorname{Rad}(B).$$ Now, $M$ is an irreducible representation of $(A \otimes B)/\operatorname{Rad}(A \otimes B)$, so it is clearly of the form $M = V \otimes W$, where $V$ is an irreducible rep
Chapter3/Discussion_proof_of_Theorem3.3.1	discussion	Chapter3	5	author_check	unknown	#5388	But $A^{n*} \cong A^n$ as representations of $A$ (check it!).
Chapter3/Discussion_proof_of_Theorem3.3.1	discussion	Chapter3	4	property+thus_therefore	unknown	#5388	Thus, the dual map $\phi^* : X \longrightarrow A^{n*}$ is injective.
Chapter3/Discussion_after_Theorem3.7.1	discussion	Chapter3	4	welldef	gap	#5388	The Jordan-Holder theorem shows that the number $n$ of terms in a filtration of $V$ with irreducible successive quotients does not depend on the choice of a filtration and depends only on $V$.
Chapter3/Discussion_proof_of_Theorem3.10.2	discussion	Chapter3	4	property+thus_therefore	unknown	#5388	Therefore, the map $A \otimes B \to \operatorname{End} V \otimes \operatorname{End} W = \operatorname{End}(V \otimes W)$ is surjective.
Chapter3/Discussion_alternative_proof_of_Proposition3.1.4	discussion	Chapter3	3	property	unknown	#5388	Now, suppose $V = \bigoplus_{i \in I} V_i$ with $V_i$ irreducible, and $f : V \to U$ is a surjective homomorphism.
Chapter3/Discussion_proof_of_Theorem3.10.2	discussion	Chapter3	3	property	unknown	#5388	Thus, $V \otimes W$ is irreducible.
Chapter3/Discussion_proof_of_Theorem3.10.2	discussion	Chapter3	3	property	unknown	#5388	Then $J$ is a nilpotent ideal in $A \otimes B$, as $\operatorname{Rad}(A)$ and $\operatorname{Rad}(B)$ are nilpotent.
Chapter3/Discussion_proof_of_Theorem3.3.1	discussion	Chapter3	2	easy_assert	unknown	#5388	**Proof of Theorem 3.3.1.** First, the given representations are clearly irreducible, since for any $v \neq 0$, $w \in V_i$, there exists $a \in A$ such that $av = w$.
Chapter3/Discussion_proof_of_Theorem3.3.1	discussion	Chapter3	2	easy_assert	unknown	#5388	The map $\phi$ is clearly surjective, as $k \subset A$.
Chapter3/Discussion_after_Theorem3.7.1	discussion	Chapter3	2	easy_assert	gap	#5388	It is easy to see that $n$ is also the maximal length of a filtration of $V$ in which all the inclusions are strict.
Chapter3/Discussion_proof_of_Theorem3.8.1	discussion	Chapter3	2	this_defines	unknown	#5388	Since $g$ is an isomorphism, we get $v = 0$, as desired.
Chapter3/Introduction_to_3.6	introduction	Chapter3	1	thus_therefore	gap	#5388	Thus, we may view the character as a mapping $\chi_V : A/[A, A] \to k$.
Chapter4/Discussion_after_Theorem4.5.1	discussion	Chapter4	7	iff_equiv+property	gap	#5388	Indeed, it implies that $V$ is irreducible if and only if $(\chi_V, \chi_V) = 1$.
Chapter4/Discussion_4.4	discussion	Chapter4	4	iff_equiv	gap	#5388	Thus for complex representations $$\chi_{V^*}(g) = \chi_V(g^{-1}) = \sum \lambda_i^{-1} = \sum \overline{\lambda_i} = \overline{\sum \lambda_i} = \overline{\chi_V(g)}.$$ In particular, $V \cong V^*$ as representations (not just as vector spaces) if and only if $\chi_V(g) \in \mathbb{R}$ for all $g \
Chapter4/Discussion_after_Theorem4.5.1	discussion	Chapter4	3	property	gap	#5388	Theorem 4.5.1 gives a powerful method of checking if a given complex representation $V$ of a finite group $G$ is irreducible.
Chapter4/Discussion_after_Theorem4.6.2	discussion	Chapter4	3	property	gap	#5388	Theorem 4.6.2 implies that if $V$ is a finite dimensional representation of a finite group $G$, then the **complex conjugate representation** $\overline{V}$ (i.e., the same space $V$ with the same addition and the same action of $G$, but complex conjugate action of scalars) is isomorphic to the dual
Chapter4/Introduction_4.5	introduction	Chapter4	2	this_defines	unknown	#5388	Orthogonality of characters We define a positive definite Hermitian inner product on $\mathrm{F}_c(G, \mathbb{C})$ (the space of central functions) by $$(f_1, f_2) = \frac{1}{|G|} \sum_{g \in G} f_1(g)\overline{f_2(g)}.$$ The following theorem says that characters of irreducible representations of $
Chapter4/Discussion_proof_Theorem4.10.2	discussion	Chapter4	2	this_defines	unknown	#5388	We set $P_i = \det_{V_i} L(\mathbf{x})$.
