score	signals	item	sentence
10	author_check+iff_equiv+thus_therefore	Chapter7/Discussion_after_Definition7.4.1	In particular, the above categories $\mathcal{C}_1$ and $\mathcal{C}_2$ are equivalent (check it!).
8	author_check+property	Chapter2/Discussion_faithful_example	For example, $k[t]$ is a faithful representation of the Weyl algebra if $k$ has characteristic zero (check it!), but not in characteristic $p$, where $(d/dt)^p Q = 0$ for any polynomial $Q$.
7	iff_equiv+property	Chapter2/Discussion_commutativity_examples	In case 5, $A$ is commutative if and only if $G$ is commutative.
7	iff_equiv+property	Chapter3/Discussion_alternative_proof_of_Proposition3.1.4	Then $f$ is injective (respectively surjective, an isomorphism) if and only if all the $f_X$ are.
7	iff_equiv+property	Chapter4/Discussion_after_Theorem4.5.1	Indeed, it implies that $V$ is irreducible if and only if $(\chi_V, \chi_V) = 1$.
6	easy_assert+property+thus_therefore	Chapter3/Discussion_proof_of_Theorem3.10.2	Thus, we see that $$(A \otimes B)/\operatorname{Rad}(A \otimes B) = A/\operatorname{Rad}(A) \otimes B/\operatorname{Rad}(B).$$ Now, $M$ is an irreducible representation of $(A \otimes B)/\operatorname{Rad}(A \otimes B)$, so it is clearly of the form $M = V \otimes W$, where $V$ is an irreducible rep
6	dimformula+property	Chapter5/Discussion_proof_of_Theorem5.3.1	On the other hand, from the definition of $\lambda_i$, $$\sum_{C_i} \lambda_i \overline{\chi_V(g_{C_i})} = \sum_i \frac{|C_i| \chi_V(g_{C_i}) \overline{\chi_V(g_{C_i})}}{\dim V}.$$ Recalling that $\chi_V$ is a class function, this is equal to $$\sum_{g \in G} \frac{\chi_V(g) \overline{\chi_V(g)}}{\d
5	author_check	Chapter2/Remark2.9.4	Then $D := g'(0) : A \to A$ is a derivation (check it!).
5	author_check	Chapter3/Remark3.1.5	The proof of this generalized version of Proposition 3.1.4 is the same as before (check it!).
5	author_check	Chapter3/Discussion_proof_of_Theorem3.3.1	But $A^{n*} \cong A^n$ as representations of $A$ (check it!).
5	author_check	Chapter4/Remark4.5.3	Then one can define the characters by the formula $$\chi_i(g) = \sqrt{\frac{|G|}{\tilde{\chi}_i(1)}} \tilde{\chi}_i(g)$$ (check it!).
5	dimformula+this_defines	Chapter5/Discussion_hook_length_derivation	Then, using the determinant formula for $\Delta(x)$ and expanding the determinant as a sum over permutations, we get $$ \dim V_\lambda = \sum_{s \in S_N : l_j \geq N - s(j)} (-1)^s \frac{n!}{\prod_j (l_j - N + s(j))!} $$ $$ = \frac{n!}{l_1!
5	property+this_defines	Chapter5/Discussion_before_Theorem5.18.4	Now, the algebra $A$ is semisimple by Maschke's theorem, so the double centralizer theorem applies, and we get the following result, which goes under the name "Schur-Weyl duality" (as it was discovered by Schur and popularized by Weyl in his books *The theory of groups and quantum mechanics* and *Cl
5	author_check	Chapter7/Introduction_7.1	For a serious acquaintance with category theory, the reader may use, for instance, the classical book [**McL**].
5	author_check	Chapter9/Introduction_9.6	Note that in such a category, Hom spaces are finite dimensional (check it!).
5	author_check	Chapter9/Introduction_9.7	Then all the projective generators of $\mathcal{C}$ are the objects of the form $P_{\mathbf{n}} := \bigoplus_{i=1}^m n_i P_i$, where $n_i \geq 1$ (check it!).
5	easy_assert+property	Chapter9/Discussion_after_Definition9.7.1	It is easy to see that this algebra is the only one of the $B_{\mathbf{n}}$ for which $B_{\mathbf{n}}/\operatorname{Rad}(B_{\mathbf{n}}) = \bigoplus_i \operatorname{Mat}_{n_i}(k)$ is commutative.
4	welldef	Chapter2/Discussion_2.5_well_defined	This is well defined because if $\pi(a) = \pi(a')$, then $$ \pi(a'b) = \pi(ab + (a' - a)b) = \pi(ab) + \pi((a' - a)b) = \pi(ab) $$ because $(a' - a)b \in Ib \subseteq I = \ker \pi$, as $I$ is a right ideal; similarly, if $\pi(b) = \pi(b')$, then $$ \pi(ab') = \pi(ab + a(b' - b)) = \pi(ab) + \pi(a(b'
4	iff_equiv	Chapter2/Discussion_quiver_rep_bijection	Two paths $a, b$ can be concatenated to form the path $ab$ if and only if the final target of $a$ equals the first source of $b$. $P_Q$: let $\mathbf{V} = \bigoplus_i V_i$, let $p_i : \mathbf{V} \to V_i \to \mathbf{V}$ be the projection onto $V_i$, and for any path $p = h_1 \ldots h_m$ let $a_p = x_
4	welldef	Chapter2/Discussion_tensor_product_maps	Namely, if $A : V \to V'$ and $B : W \to W'$ are linear maps, then one can define the linear map $A \otimes B : V \otimes W \to V' \otimes W'$ given by the formula $(A \otimes B)(v \otimes w) = Av \otimes Bw$ (check that this is well defined!).
4	property+thus_therefore	Chapter3/Discussion_proof_of_Theorem3.3.1	Thus, the dual map $\phi^* : X \longrightarrow A^{n*}$ is injective.
4	welldef	Chapter3/Discussion_after_Theorem3.7.1	The Jordan-Holder theorem shows that the number $n$ of terms in a filtration of $V$ with irreducible successive quotients does not depend on the choice of a filtration and depends only on $V$.
4	property+thus_therefore	Chapter3/Discussion_proof_of_Theorem3.10.2	Therefore, the map $A \otimes B \to \operatorname{End} V \otimes \operatorname{End} W = \operatorname{End}(V \otimes W)$ is surjective.
4	iff_equiv	Chapter4/Discussion_4.4	Thus for complex representations $$\chi_{V^*}(g) = \chi_V(g^{-1}) = \sum \lambda_i^{-1} = \sum \overline{\lambda_i} = \overline{\sum \lambda_i} = \overline{\chi_V(g)}.$$ In particular, $V \cong V^*$ as representations (not just as vector spaces) if and only if $\chi_V(g) \in \mathbb{R}$ for all $g \
4	iff_equiv	Chapter5/Remark5.8.2	**Remark 5.8.2.** In fact, $\operatorname{Ind}_H^G V$ is naturally isomorphic to the representation $\operatorname{Hom}_H(k[G], V)$.
4	welldef	Chapter5/Discussion_verification_of_Ind	Let us check that $\operatorname{Ind}_H^G V$ is well defined as a representation.
4	iff_equiv	Chapter5/Discussion_footnote_5.15	--- ${}^2$Another way to see this is to note that $\sigma(\rho) \leq \rho$ lexicographically with equality if and only if $\sigma = 1$, and subtracting both sides from the constant vector $\lambda + \rho$ shows that $\lambda + \rho - \sigma(\rho) \geq \lambda$ with equality if and only if $\sigma = 
4	iff_equiv	Chapter5/Remark5.26.2	**Remark 5.26.2.** Statement (ii) of Theorem 5.26.1 is equivalent to the same statement with $\mathbb{Q}$-span replaced by $\mathbb{C}$-span.
4	iff_equiv	Chapter5/Remark5.26.2	Then both statements are equivalent to the condition that the rows of this matrix are linearly independent.
4	welldef	Chapter6/Discussion_after_Example6.3.1	It appears as if the number of indecomposable representations does not depend on the orientation of the edges — and indeed Gabriel's theorem will generalize this observation.
